profileName,cleaned_comment,language,sentiment
Ocean's Albatros,كون يزيدو خدمة سونلغاز تجي هايلة,arabic,neutral
Latreche Ahmed,البطاقة تلبي أهتمامات وأنشغالات يهتم حاملها الغالب تلبي خدمات المؤسسات يسدد المواطن الفواتير فخدمتها محدودة وغير مقبولة لاستخدامها كبطاقات فيزا تلبي الإنشغالات الخدمات,arabic,neutral
علي الليث,التحويل دفع فاتورات النت والبيس الفليكسي وارجوا اضافة المزيد وتحسينه للافضل وقت التكنولوجيا لهذا حسنوه,arabic,neutral
Ram Rom,شاء الله بريدي موب والله تسهيلات ونقص المشقة تحياتي الى شركة اتصالات الجزائر وبريد الجزائر,arabic,positive
Amine Elbaz Hicham Azanova,بالنسبة لتطبيق eccp يعمل رغم تحديث ووووو وتقريب كامل زملاء عندهم المشكل حاليا نستعمل بريدي موب تطبيق لبأس فقط مشكل ان شاء الله تصلحوه مايعملش تحديث للمبلغ رصيد وقته,arabic,neutral
Møhamed El Ghazali Soufi,فليكسي برك نقصت علينا شقى نروح لطاكسيفون,arabic,neutral
Mouslim Ahmed,ملي درت التحديث الأخير التطبيق عادش يفتح الحل,arabic,neutral
Karim Ghemri,ماشاء الله الا الحالات يعمل أدري لماذا,arabic,positive
Abdou Haddad,واش درتو التحديث الاخير تاع بريدي موب يوم,arabic,neutral
Müstã Øćh,رائعة مزيد التطور انشالله,arabic,neutral
محمد أبو منذر,الله يبارك دائما القمة تجربة موفقين,arabic,positive
Khedidja Kheddouri,الاحترام والتقدير,arabic,neutral
مذكور فاطمه,رحتلهم للبريد والله معلابلهم واش يقولولي قاعدين يدو ويجيبو فيا عطاني ورقه عمرتها بطاقه تعريف وشهاده ميلاد وليت قالي جيبيلي ورقه اخرى بوسطا كبيره مهم عرقله وخلاص,arabic,neutral
Mohamed H-b,عندي خطأ لقبي ماهي الوثائق الازمة تقديمها وشكرا,arabic,negative
Zakaria RM,شكرا,arabic,positive
Ëmẚ Wẚtšon,سلام انا صححت الإسم الصك البريدي البطاقة الذهبية تصحح وصلت خاطئة يمكن تصحيحها,arabic,neutral
Fatima Taifour,شكرا,arabic,positive
Hamza Naas Rb,افعل حالة ضياع البطاقة الذهبية الخاصة,arabic,negative
زكرياء درارجة,فضلكم البطاقة الذهبية تخلاص الشهر وقتاش تلحق الجديدة شكرا,arabic,positive
Mejri Salah,يوحد قرض مستوى بريد الجزائر,arabic,neutral
Terki Mustapha,بارك الله فيكم وجزاكم خير,arabic,positive
رحماني محمد رضا,الفواتير تعبئة الرصيد الهاتف البنزين مشكورين المجهودات الخدمات لأنه صح نقصت التنقلات تضييع اليوم الوكالات,arabic,positive
Mouloud Ko,نفليكسي منو ونخلص الفواتير,arabic,neutral
Abd El Raouf,خدمة فليكسي لفارمون,arabic,neutral
Aissi Amir,الدفع التحويل,arabic,neutral
Vert Blan,الدفع الالكتروني التحويلات عملية السحب بطاقة انتظار خدمات جديدة ان شاءالله التوفيق تطوير نجاح الخدمة,arabic,neutral
Bilal Ahsne,سؤال راحلوا رقم سري تاع الذهبية واش إجراءات,arabic,neutral
ام محمد تميم,ممكن رقم مصلحة الزبائن,arabic,neutral
الصفحة الرسمية حي حسان بوجنانة 2 قسنطينة ,دفع الفواتير شحن الرصيد شاء الله مزيد النجحات,arabic,positive
غازي عينتاب,ننتظر ايضا تطبيق الاتفاقية تم الامضاء عليها طرف المدير العام لوكالة عدل المدير العام البريد المواصلات تسمح بدفع الاشطر الخاصة عدل,arabic,neutral
Poste Generale,شكرا,arabic,positive
Salim Noubli,هاذي ساهلة وفهمناها حكيلنا المدة الزمنية تتعدى اشهر لمعاجلة المشاكل البسيطة,arabic,neutral
Lachache Amina,بريد الجزائر يعطيكم الصحه هنيتونا البوسطا بصح هادي وزيدوا ديروها اونلين,arabic,neutral
بوصوار زبير,خاصنا دراهم تجيني للدار,arabic,neutral
Deden Nouri,رقم السري نتاع بطاقة الذهبية معنديش كلوم لابوسط مزال,arabic,neutral
Djamel Ouarem,اصحاب البطاقة الذهبية الجديدة يتحصلو عليها مدة طويلة أظن الفارط يتم ارسال البطاقات,arabic,neutral
عبد الله محمد نوح,بالنسبة للأمضاء الاول يمكن تغييره,arabic,neutral
خالد عليوة,عندي خطأ لقب ماهي الوثائق الازمة تقديمها وشكرا,arabic,negative
Fahima Ait Ait,شكرا,arabic,positive
غازي عينتاب,الخدمات نستعملها بزاف تحويل الاموال حساب بريدي طريق بريدي موب زبائن ماعندهمش بطاقة ذهبية لهذا اقترح إضافة خاصية إرسال المال حساب بريدي حساب بريدي آخر بإستعمال فقط رقم الحساب المفتاح عنوان المرسل إليه اجتنب الذهاب مراكز البريد المكتضة,arabic,neutral
Abd Erazak,بريدي موب يقوم بسرقة الاموال,arabic,neutral
Abd Elfettah Derbal,كاين المشكل تاع الإقتطاع تشوف الرصيد فالتطبيق كاين ناس تدخل تشوف الرصيد وتعاود وهما معلبلهمش بلي مرة تشوف يننحولك دج مدا تعاودوو تشوفو Algérie Poste بريد الجزائر تطبيق وعندو إقطتاع شهري والرصيد تاعك حقك تشوفو داخل التطبيق إقتطاع,arabic,neutral
Djaafar Sassi,لماذا خدمة تحويل الأموال متاحة ECCP,arabic,neutral
Khaled Nahet,انا ختى خدمة بغات تتمشى الميساج تاع الشهرية راه يلحق روطار اين الخلل أدري الخط Algérie Poste بريد الجزائر,arabic,negative
Toufik Dje,يجب طرد الكهول الموسسة تجنب اعطاءهم منصب رئيس مصلحة يكهلل المصلحة المجال للشباب يتركو مناصبهم كهلللتهم,arabic,neutral
Ahmed Ahmed,ماهو جديدي موب المبشر,arabic,neutral
Faycal Taleb,أعتقد السؤال المفروض يطرح ماهي الخدمات تريد تقوم تكون متاحة عبر تطبيق بريدي موب,arabic,neutral
אל-סייד יוסף,رابط بريدي موب تطبيق واد كنيس,arabic,neutral
شكري البنه,الفليكسي االرصيد,arabic,neutral
Djafer Dh,شكرا,arabic,positive
Smail Harbi,Mais la justice ne delivre pas le jugement pour la rectification des noms,french,neutral
Massi B'n,Ça prend combien de jour pour un changement d adresse j ai perdu l espoir d avoir mon chèque,french,neutral
Hüseyin Alışak,خدمة الزبائن خبر,arabic,neutral
زكرياء درارجة,غيرت عنوان إستقبال البطاقة الذهبية تطبيق eccp أحصل عليها العنوان الجديد,arabic,neutral
Mohamed Arab,Merci,french,neutral
Rima Rim,سلام عليكم ربي يحفظكم شكون عندو معلومة يجوبي تخرجلي هك بريد موب علاع شهادة الخادم السيرفر صحيحة تكون متصل بخادم امن,arabic,positive
ام وافية الله اكبر,شكرل,arabic,neutral
Mounir Metatla,نستنا ميساج هدا برك شهر مانستخدم والووو ALG poste,arabic,neutral
Ãh Mēd,راكم روطار بزاف,arabic,negative
Manou Manel,Daisy Meriem il faut parler des problèmes de baridi mob,french,neutral
أبو عبد الجليل زكريا,راكم حاسبين رواحكم طورتو كارت تقدرش تشري,arabic,neutral
De Amouna Délice,نستعمل تسديد الفواتير,arabic,neutral
مهدي مهدي,التحويلات,arabic,neutral
Youcef Benchaa,فليكسي والاطلاع الرصيد,arabic,neutral
Facilté Batna,لوكان لقينا خدمات اكثر كون رجعنا كلش بالبريدي موب للأسف مكاش الخدمات حاليا نخلص الإنترنت الهاتف الماء يكون الكييار واضح الفاتورة eccp نشوف ويلا المعاملة درتها مرت واش كاين,arabic,negative
Shå Ïma,فليكسي تحويلات,arabic,neutral
